flux_campaign,day,Date,time,RECORD,SiteOutput,chamber,line,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
4,1,22/02/2014,6:11:00 AM,2835,3,cal1,ref,150.5,761.7543,8.322756,20.00105,400.0234,460.7,139.945,195.094,100,773.325,8.330443,-36.44617
4,1,22/02/2014,6:11:20 AM,2836,4,cal2,ref,150.5,314.0537,3.441263,20.00144,400.007,462.0299,141.6747,195.39,100,322.6156,3.476447,-36.12636
4,1,22/02/2014,6:11:40 AM,2837,15,9,ref,150.5,446.461,5.016263,20.00061,399.9905,444.2145,88.75865,195.4122,100,455.9469,5.044243,-10.41822
4,1,22/02/2014,6:12:00 AM,2838,16,9,samp,150.5,444.5465,4.99323,19.99961,399.9939,442.822,97.73109,195.5178,100,454.0091,5.021232,-10.72812
4,1,22/02/2014,6:12:20 AM,2839,13,10,ref,150.5,439.2832,4.936417,19.9976,399.9948,443.0872,80.44791,195.4124,100,448.6441,4.963992,-10.31026
4,1,22/02/2014,6:12:40 AM,2840,14,10,samp,150.5,448.2765,5.03436,19.99377,399.9986,442.0321,97.69887,195.4571,100,457.7701,5.062135,-10.86358
4,1,22/02/2014,6:13:00 AM,2841,5,4,ref,150.5,445.5372,5.005498,19.99901,399.9953,442.2791,89.36175,195.4053,100,454.9195,5.032432,-10.50506
4,1,22/02/2014,6:13:20 AM,2842,6,4,samp,150.5,441.8706,4.96371,20.00208,399.9995,443.0775,69.24922,195.4289,100,451.3183,4.991894,-10.64479
4,1,22/02/2014,6:13:40 AM,2843,17,11,ref,150.5,455.2591,5.112307,20.00087,399.9998,441.7188,98.62479,195.4452,100,464.7731,5.139463,-10.88519
4,1,22/02/2014,6:14:00 AM,2844,18,11,samp,150.5,453.8419,5.095338,20.00095,400.0016,442.0364,90.91442,195.4286,100,463.3788,5.122861,-11.11392
4,1,22/02/2014,6:14:20 AM,2845,9,3,ref,150.5,441.5115,4.960342,19.99976,399.9999,442.3114,83.75494,195.426,100,450.9642,4.98861,-10.51912
4,1,22/02/2014,6:14:40 AM,2846,10,3,samp,150.5,443.6582,4.982324,19.99453,399.9992,443.7281,54.40371,195.4122,100,453.1169,5.010358,-10.92683
4,1,22/02/2014,6:15:00 AM,2847,11,8,ref,150.5,452.519,5.082217,20.00457,399.9989,441.2988,105.7757,195.4817,100,462.0392,5.109779,-10.77927
4,1,22/02/2014,6:15:20 AM,2848,12,8,samp,150.5,459.0667,5.152296,19.99892,399.9975,441.382,103.9664,195.6088,100,468.6317,5.179452,-11.39669
4,1,22/02/2014,6:15:40 AM,2849,15,9,ref,150.5,441.3854,4.959728,20.00032,399.999,442.0989,88.78961,195.4877,100,450.8355,4.98796,-10.36573
4,1,22/02/2014,6:16:00 AM,2850,16,9,samp,150.5,445.354,5.001487,20.0037,399.9995,441.6935,97.68925,195.5843,100,454.8289,5.029509,-10.88343
4,1,22/02/2014,6:16:20 AM,2851,13,10,ref,150.5,446.7875,5.019026,19.99944,399.9995,442.4863,80.43573,195.4642,100,456.2726,5.046946,-10.59488
4,1,22/02/2014,6:16:40 AM,2852,14,10,samp,150.5,448.9241,5.041215,20.0013,400.0004,441.753,97.66878,195.5329,100,458.4258,5.069005,-10.9377
4,1,22/02/2014,6:17:00 AM,2853,5,4,ref,150.5,440.0014,4.94312,19.99966,400,442.1493,89.33633,195.4979,100,449.482,4.971849,-10.59151
4,1,22/02/2014,6:17:20 AM,2854,6,4,samp,150.5,442.7393,4.972381,19.99798,399.9993,443.04,69.22188,195.4646,100,452.1922,5.000469,-10.86043
4,1,22/02/2014,6:17:40 AM,2855,17,11,ref,150.5,443.3124,4.979939,20.00031,400.0002,441.7137,98.62531,195.4944,100,452.7961,5.008266,-10.63929
4,1,22/02/2014,6:18:00 AM,2856,18,11,samp,150.5,454.4963,5.102036,20.00017,400.0002,442.1012,90.92373,195.4856,100,464.0328,5.129493,-11.22919
4,1,22/02/2014,6:18:20 AM,2857,9,3,ref,150.5,424.1977,4.767722,20.00039,399.9993,442.3766,83.7235,195.5042,100,433.5366,4.797038,-10.26864
4,1,22/02/2014,6:18:40 AM,2858,10,3,samp,150.5,444.7623,4.99453,19.99574,399.9986,443.8092,54.36009,195.472,100,454.2323,5.022563,-10.9522
4,1,22/02/2014,6:19:00 AM,2859,11,8,ref,150.5,449.631,5.049796,20.00333,400.0001,441.3557,105.758,195.5307,100,459.0985,5.077139,-10.80253
4,1,22/02/2014,6:19:20 AM,2860,12,8,samp,150.5,459.7837,5.160425,19.99858,400.0012,441.433,103.9861,195.6455,100,469.3531,5.187572,-11.36886
4,1,22/02/2014,6:19:40 AM,2861,3,cal1,ref,150.5,761.9418,8.322598,20.0058,400.0252,460.7516,140.0308,195.2115,100,773.6035,8.333302,-36.46254
4,1,22/02/2014,6:20:00 AM,2862,4,cal2,ref,150.5,314.0512,3.44065,20.00315,400.0062,462.0862,141.7889,195.4926,100,322.6178,3.47677,-36.04303
4,1,22/02/2014,6:20:20 AM,2863,15,9,ref,150.5,427.6188,4.805749,20.00185,399.991,444.2885,88.76227,195.5331,100,436.9219,4.8352,-10.12451
4,1,22/02/2014,6:20:40 AM,2864,16,9,samp,150.5,446.7627,5.016651,19.99965,399.9932,442.9172,97.6812,195.6288,100,456.188,5.045022,-10.78871
4,1,22/02/2014,6:21:00 AM,2865,13,10,ref,150.5,424.5447,4.772064,20.00161,399.9979,443.177,80.43015,195.529,100,433.8181,4.801641,-9.961935
4,1,22/02/2014,6:21:20 AM,2866,14,10,samp,150.5,449.0611,5.04269,20.00015,399.9942,442.0926,97.67001,195.5952,100,458.5071,5.070912,-10.74127
