flux_campaign,day,Date,time,RECORD,SiteOutput,chamber,line,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
5,1,22/03/2014,6:27:40 AM,2679,3,cal1,ref,150.5,761.6864,8.325319,20.00038,400.0164,441.8913,128.8804,200.6288,100,773.4607,8.333915,-36.21375
5,1,22/03/2014,6:28:00 AM,2680,4,cal2,ref,150.5,314.0377,3.443218,20.00202,400.0015,443.4848,138.5169,200.9217,100,322.6033,3.477022,-35.93013
5,1,22/03/2014,6:28:20 AM,2681,15,9,ref,150.5,492.0674,5.522685,19.99828,399.9927,426.1577,83.52919,201.0719,100,501.8883,5.545671,-11.63604
5,1,22/03/2014,6:28:40 AM,2682,16,9,samp,150.5,538.5609,6.037622,20.00248,399.9967,424.5805,92.38776,201.2166,100,548.7203,6.057894,-12.49211
5,1,22/03/2014,6:29:00 AM,2683,17,12,ref,150.5,493.2301,5.535573,20.00304,399.995,424.0045,94.08255,201.0846,100,503.0618,5.558432,-11.67256
5,1,22/03/2014,6:29:20 AM,2684,18,12,samp,150.5,557.9554,6.250654,19.99699,399.9983,424.0911,85.76411,201.1352,100,568.251,6.269851,-13.0687
5,1,22/03/2014,6:29:40 AM,2685,5,4,ref,150.5,490.244,5.50184,20.00182,399.9997,424.0292,83.79185,201.06,100,500.0529,5.524886,-11.72604
5,1,22/03/2014,6:30:00 AM,2686,6,4,samp,150.5,529.0317,5.932286,20.00013,399.9999,424.8501,63.98007,201.0267,100,539.1238,5.95317,-12.28948
5,1,22/03/2014,6:30:20 AM,2687,9,3,ref,150.5,495.9799,5.565555,20.00318,400.0007,424.1236,78.44714,201.121,100,505.8373,5.588342,-11.80645
5,1,22/03/2014,6:30:40 AM,2688,10,3,samp,150.5,534.2553,5.989431,19.99933,399.9996,425.2295,54.03791,201.1053,100,544.3848,6.010018,-12.4942
5,1,22/03/2014,6:31:00 AM,2689,13,10,ref,150.5,501.551,5.627197,19.99535,400,424.2514,75.16196,201.0983,100,511.4329,5.649492,-11.92321
5,1,22/03/2014,6:31:20 AM,2690,14,10,samp,150.5,527.3243,5.912947,19.99919,399.999,423.455,92.45605,201.1382,100,537.4044,5.933927,-12.33222
5,1,22/03/2014,6:31:40 AM,2691,11,5,ref,150.5,501.279,5.623786,20.00323,399.9994,423.0556,101.0896,201.1529,100,511.1688,5.646234,-11.98291
5,1,22/03/2014,6:32:00 AM,2692,12,5,samp,150.5,544.8206,6.105931,20.00398,400.0011,423.1342,99.34041,201.1917,100,555.0225,6.125889,-12.74692
5,1,22/03/2014,6:32:20 AM,2693,15,9,ref,150.5,506.0971,5.67749,20.00013,400.0006,423.8427,83.50667,201.1103,100,516.025,5.699681,-12.0163
5,1,22/03/2014,6:32:40 AM,2694,16,9,samp,150.5,537.6113,6.02678,19.99864,400.0012,423.4519,92.37665,201.2522,100,547.7648,6.047148,-12.52436
5,1,22/03/2014,6:33:00 AM,2695,17,12,ref,150.5,512.9469,5.753838,19.99775,399.9998,423.402,94.05882,201.131,100,522.916,5.775522,-12.06312
5,1,22/03/2014,6:33:20 AM,2696,18,12,samp,150.5,557.1519,6.242043,19.99329,400.0013,423.7616,85.7877,201.2177,100,567.4399,6.261305,-13.00521
