d13C,chamber,campaign
-28.36,1,1
-29.02,1,2
-31.10,1,3
-28.84,1,4
-30.13,1,5
-29.37,2,1
-32.92,2,2
-31.54,2,3
-31.31,2,4
-31.15,2,5
-27.42,3,1
-30.78,3,2
-31.18,3,3
-29.59,3,4
-30.53,3,5
-28.56,4,1
-31.85,4,2
-30.65,4,3
-30.75,4,4
-31.45,4,5
-29.47,5,1
-31.73,5,2
-30.82,5,3
-30.71,5,4
-31.68,5,5
-27.20,6,1
-29.26,6,2
-29.72,6,3
-29.73,6,4
-28.89,6,5
-29.03,7,1
-29.83,7,2
-33.63,7,3
-31.83,7,4
-32.15,7,5
-29.08,8,1
-31.62,8,2
-31.58,8,3
-30.16,8,4
-31.03,8,5
-27.91,9,1
-30.94,9,2
-29.78,9,3
-29.49,9,4
-31.32,9,5
-28.45,10,1
-27.87,10,2
-27.94,10,3
-30.37,10,4
-31.12,10,5
-29.63,11,1
-31.65,11,2
-30.45,11,3
-30.54,11,4
-30.85,11,5
-28.86,12,1
-31.83,12,2
-30.61,12,3
-31.44,12,4
-31.44,12,5
